canonicalId	originalName	trait	markerType	chrom	posStart	posEnd	ref	alt	priority	source	sourceCode	evidence	genomeVersion
S100K-QTL-SB01-068034103-068043358	Ma3/PhyB	Flowering time	QTL/Gene	1	68034103	68043358	NA	MULTIPLE	3.0	Tuinstra/Purdue	TUINSTRA-PUR	Photoperiod	BTx623_NCBIv3
S100K-QTL-SB01-075891908-075897861	SUT1	Sugar transport	QTL/Gene	1	75891908	75897861	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB02-002042233-002043595	Sobic.002G022500	Biomass/plant height	QTL/Gene	2	2042233	2043595	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (DBM/PH)	BTx623_NCBIv3
S100K-QTL-SB02-002500000-011400000	Panicle neck diameter QTL	Source-sink balance	QTL/Gene	2	2500000	11400000	NA	NA	2.0	Saini/TTU	SAINI-TTU	QTL mapping	BTx623_NCBIv3
S100K-QTL-SB02-002240519-002243221	Sobic.002G024000	Drought response	QTL/Gene	2	2240519	2243221	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (trans-reg)	BTx623_NCBIv3
S100K-QTL-SB02-060659172-060660601	Sobic.002G214300	Trans-regulation/stress	QTL/Gene	2	60659172	60660601	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (trans-reg)	BTx623_NCBIv3
S100K-QTL-SB02-064506109-064508835	Sobic.002G259600	Stress response/lncRNA	QTL/Gene	2	64506109	64508835	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-066476663-066477596	Sobic.002G283800	Stress response/lncRNA	QTL/Gene	2	66476663	66477596	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-066529282-066529995	Sobic.002G284701	Stress response/lncRNA	QTL/Gene	2	66529282	66529995	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-066560039-066560470	Sobic.002G285800	Stress response	QTL/Gene	2	66560039	66560470	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-069697582-069698880	Sobic.002G327100	Stress response/lncRNA	QTL/Gene	2	69697582	69698880	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-069704345-069706669	Sobic.002G327400	Stress response	QTL/Gene	2	69704345	69706669	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-071085142-071095763	Sobic.002G344600	Stress response	QTL/Gene	2	71085142	71095763	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-067882606-067888127	Ma2	Flowering time	QTL/Gene	2	67882606	67888127	NA	LEU141TER	3.0	Tuinstra/Purdue	TUINSTRA-PUR	Photoperiod	BTx623_NCBIv3
S100K-QTL-SB02-068569338-068574778	SbSBP4	Flowering time	QTL/Gene	2	68569338	68574778	NA	NA	3.0	Tuinstra/Purdue	TUINSTRA-PUR	TWAS	BTx623_NCBIv3
S100K-QTL-SB02-068577682-068579637	SbSBP19	Flowering time	QTL/Gene	2	68577682	68579637	NA	NA	2.0	Tuinstra/Purdue	TUINSTRA-PUR	TWAS	BTx623_NCBIv3
S100K-QTL-SB02-072142948-072144625	BHLH_tf_1	BNI (root hair)	QTL/Gene	2	72142948	72144625	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB03-068026375-068029439	Sobic.003G362800	Drought response	QTL/Gene	3	68026375	68029439	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (trans-reg)	BTx623_NCBIv3
S100K-QTL-SB03-073013858-073015106	Sobic.003G426000	Stress response/lncRNA	QTL/Gene	3	73013858	73015106	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB03-038767449-038813112	Sobic.003G173400	Biomass/plant height	QTL/Gene	3	38767449	38813112	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (DBM/PH)	BTx623_NCBIv3
S100K-QTL-SB03-045631816-054974726	QTL-Sb.RKN.3.1	RKN resistance	QTL/Gene	3	45631816	54974726	NA	NA	1.0	Harris/USDA	HARRIS-USDA	QTL mapping	BTx623_NCBIv3
S100K-QTL-SB03-062748000-062749642	SbFT8 (FL-T)	Flowering time	QTL/Gene	3	62748000	62749642	NA	NA	2.0	Tadesse/USDA	TADESSE-USDA	Photoperiod pathway	BTx623_NCBIv3
S100K-QTL-SB03-071104827-071108073	AltSB/SbMATE	Aluminum tolerance	QTL/Gene	3	71104827	71108073	NA	NA	2.0	Saini/TTU	SAINI-TTU	QTL mapping	BTx623_NCBIv3
S100K-QTL-SB03-071114880-071120454	SPS1	Sugar synthesis	QTL/Gene	3	71114880	71120454	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB03-073971233-073974698	INV2	Sugar metabolism	QTL/Gene	3	73971233	73974698	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-000418239-000423162	INV3	Sugar metabolism	QTL/Gene	4	418239	423162	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-005572016-005578763	SPS2	Sugar synthesis	QTL/Gene	4	5572016	5578763	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-005728604-005734362	bmr6/CAD	Stover digestibility	QTL/Gene	4	5728604	5734362	NA	NA	2.0	Saini/TTU	SAINI-TTU	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB04-008829374-008834611	TST2	Sugar transport	QTL/Gene	4	8829374	8834611	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-000793657-000795297	Sobic.004G009300	Stress response/lncRNA	QTL/Gene	4	793657	795297	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB04-063531196-063532671	Sobic.004G295500	Stress response	QTL/Gene	4	63531196	63532671	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (trans-reg)	BTx623_NCBIv3
S100K-QTL-SB04-067823187-067827040	Sobic.004G349400	Drought response	QTL/Gene	4	67823187	67827040	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB04-068363434-068366731	Sobic.004G356400	Salt stress response	QTL/Gene	4	68363434	68366731	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB04-039976164-039978076	SbCyp71AM1	BNI (sorgoleone)	QTL/Gene	4	39976164	39978076	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-051292092-051304326	SBEIIB (SbEMS2703)	Starch quality	QTL/Gene	4	51292092	51304326	C	T	2.0	Tuinstra/Purdue	TUINSTRA-PUR	EMS mutagenesis	BTx623_NCBIv3
S100K-QTL-SB04-054229192-054232507	SUT5	Sugar transport	QTL/Gene	4	54229192	54232507	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-060583496-060585071	SbDES2	BNI (sorgoleone)	QTL/Gene	4	60583496	60585071	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-062315396-062318779	Tan1/Tannin1	Grain quality	QTL/Gene	4	62315396	62318779	NA	MULTIPLELOF	2.0	Tuinstra/Purdue	TUINSTRA-PUR	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB04-064031808-064032785	VIT_dup	Sugar transport	QTL/Gene	4	64031808	64032785	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-064036221-064037462	VIT	Sugar transport	QTL/Gene	4	64036221	64037462	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB04-067950298-067955228	Sobic.004G350800	Biomass/plant height	QTL/Gene	4	67950298	67955228	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (DBM/PH)	BTx623_NCBIv3
S100K-QTL-SB04-068169079-068173814	SUT2	Sugar transport	QTL/Gene	4	68169079	68173814	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB05-000207068-000209446	SbDES3	BNI (sorgoleone)	QTL/Gene	5	207068	209446	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB05-005170367-005790187	QTL-Sb.RKN.5.1	RKN resistance	QTL/Gene	5	5170367	5790187	NA	NA	1.0	Harris/USDA	HARRIS-USDA	QTL mapping	BTx623_NCBIv3
S100K-QTL-SB05-008086049-008091371	Sobic.005G069800	Plant height	QTL/Gene	5	8086049	8091371	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (PH/LSP)	BTx623_NCBIv3
S100K-QTL-SB05-012853199-012859672	SPS3	Sugar synthesis	QTL/Gene	5	12853199	12859672	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB05-069086133-069097589	Sobic.005G205150	Salt stress response	QTL/Gene	5	69086133	69097589	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB05-061046852-061051916	SbFKF1	Flowering time	QTL/Gene	5	61046852	61051916	NA	NA	2.0	Tadesse/USDA	TADESSE-USDA	Photoperiod pathway	BTx623_NCBIv3
S100K-QTL-SB05-063964380-063965963	SbARS1_1	BNI (sorgoleone)	QTL/Gene	5	63964380	63965963	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB05-063975291-063976997	SbARS1_2	BNI (sorgoleone)	QTL/Gene	5	63975291	63976997	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB05-067373729-067374693	Kafirin_HDP	Protein quality	QTL/Gene	5	67373729	67374693	G	A	3.0	Tuinstra/Purdue	TUINSTRA-PUR	EMS mutagenesis	BTx623_NCBIv3
S100K-QTL-SB06-000697459-000700101	Ma6/Ghd7	Flowering time	QTL/Gene	6	697459	700101	NA	NA	3.0	Tuinstra/Purdue	TUINSTRA-PUR	Photoperiod	BTx623_NCBIv3
S100K-QTL-SB06-047968903-047970727	Sobic.006G111400	Stress response	QTL/Gene	6	47968903	47970727	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-056185793-056191223	Sobic.006G213300	Stress response	QTL/Gene	6	56185793	56191223	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-056716142-056717051	Sobic.006G219950	Stress response	QTL/Gene	6	56716142	56717051	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-057235780-057237604	Sobic.006G227600	Stress response	QTL/Gene	6	57235780	57237604	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-057321104-057334693	Sobic.006G228833	Stress response	QTL/Gene	6	57321104	57334693	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-059286578-059287098	Sobic.006G255700	Stress response	QTL/Gene	6	59286578	59287098	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-040304883-040316799	Ma1/SbPRR37	Flowering time	QTL/Gene	6	40304883	40316799	NA	2BPINS	1.0	Tuinstra/Purdue	TUINSTRA-PUR	Major QTL	BTx623_NCBIv3
S100K-QTL-SB06-042803037-042807520	Dw2	Plant height	QTL/Gene	6	42803037	42807520	NA	LEU184ILEFSTER8	3.0	Tuinstra/Purdue	TUINSTRA-PUR	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB06-049275639-049280945	Sobic.006G127800	Plant height	QTL/Gene	6	49275639	49280945	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (PH/LSP)	BTx623_NCBIv3
S100K-QTL-SB06-052290095-052292530	Dry/NAC	Stem pithiness	QTL/Gene	6	52290095	52292530	NA	NA	2.0	Saini/TTU	SAINI-TTU	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB06-059283344-059286521	INV4	Sugar metabolism	QTL/Gene	6	59283344	59286521	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB07-000482848-000487703	qTB7.1 (DnaJ/Hsp40)	Chilling tolerance/biomass	QTL/Gene	7	482848	487703	NA	NA	3.0	Saini/TTU	SAINI-TTU	GWAS	BTx623_NCBIv3
S100K-QTL-SB07-000489096-000494529	qTB7.2 (YTH-domain)	Chilling tolerance/biomass	QTL/Gene	7	489096	494529	NA	NA	3.0	Saini/TTU	SAINI-TTU	GWAS	BTx623_NCBIv3
S100K-QTL-SB07-003482283-003491124	qRB7	Chilling tolerance/root biomass	QTL/Gene	7	3482283	3491124	NA	NA	3.0	Saini/TTU	SAINI-TTU	GWAS	BTx623_NCBIv3
S100K-QTL-SB07-004708404-004712482	bmr12/COMT	Stover digestibility	QTL/Gene	7	4708404	4712482	NA	NA	2.0	Saini/TTU	SAINI-TTU	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB07-003730799-003733347	Sobic.007G038432	Stress response	QTL/Gene	7	3730799	3733347	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB07-061957923-061967775	Sobic.007G186700	Stress response	QTL/Gene	7	61957923	61967775	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB07-056463393-056469232	SbBr1	Semidwarfism	QTL/Gene	7	56463393	56469232	NA	SPLICING	3.0	Tuinstra/Purdue	TUINSTRA-PUR	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB07-059821905-059829921	Dwarf3-sd3	Plant height	QTL/Gene	7	59821905	59829921	NA	82BPDEL	2.0	Tuinstra/Purdue	TUINSTRA-PUR	Stable dwarf	BTx623_NCBIv3
S100K-QTL-SB07-061379333-061382309	Sobic.007G180300	Drought tolerance	QTL/Gene	7	61379333	61382309	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (GLA)	BTx623_NCBIv3
S100K-QTL-SB08-000613323-000615772	SbOMT3	BNI (sorgoleone)	QTL/Gene	8	613323	615772	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB08-003476908-003478489	SbARS2	BNI (sorgoleone)	QTL/Gene	8	3476908	3478489	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB08-058124661-058127849	BHLH_tf_2	BNI (root hair)	QTL/Gene	8	58124661	58127849	NA	NA	4.0	Tuinstra/Purdue	TUINSTRA-PUR	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB08-062665983-062671469	SUT4	Sugar transport	QTL/Gene	8	62665983	62671469	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB09-054961112-054964135	SbFT10 (FL-T)	Flowering time	QTL/Gene	9	54961112	54964135	NA	NA	2.0	Tadesse/USDA	TADESSE-USDA	Photoperiod pathway	BTx623_NCBIv3
S100K-QTL-SB09-057038653-057041166	Dw1/SbD1	Plant height	QTL/Gene	9	57038653	57041166	NA	SNPPOS1350	2.0	Tuinstra/Purdue	TUINSTRA-PUR	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB09-057279798-057292686	SPS4	Sugar synthesis	QTL/Gene	9	57279798	57292686	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB09-059154421-059160877	SbELF3	Flowering time	QTL/Gene	9	59154421	59160877	NA	NA	2.0	Tadesse/USDA	TADESSE-USDA	Photoperiod pathway	BTx623_NCBIv3
S100K-QTL-SB10-001860965-001865278	Waxy/Wx	Starch quality (waxy)	QTL/Gene	10	1860965	1865278	NA	MULTIPLELOF	2.0	Tuinstra/Purdue	TUINSTRA-PUR	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB10-003500398-003501968	SbFT1 (FL-T)	Flowering time	QTL/Gene	10	3500398	3501968	NA	NA	2.0	Tadesse/USDA	TADESSE-USDA	Photoperiod pathway	BTx623_NCBIv3
S100K-QTL-SB10-008300126-008304244	SSIIA (SbEMS4308)	Starch quality	QTL/Gene	10	8300126	8304244	G	A	3.0	Tuinstra/Purdue	TUINSTRA-PUR	EMS mutagenesis	BTx623_NCBIv3
S100K-QTL-SB10-058320539-058323796	Sobic.010G241700	Stress response	QTL/Gene	10	58320539	58323796	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB10-058767418-058768653	Sobic.010G247700	Stress response/lncRNA	QTL/Gene	10	58767418	58768653	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB10-054737939-054750024	SPS5	Sugar synthesis	QTL/Gene	10	54737939	54750024	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB10-057512083-057513537	Sobic.010G231900	Pest/disease resistance	QTL/Gene	10	57512083	57513537	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (TL/TU/SFDH)	BTx623_NCBIv3
S100K-QTL-SB10-060687868-060695066	SBEI	Starch quality (ASV)	QTL/Gene	10	60687868	60695066	NA	GWASSNPS	2.0	Tuinstra/Purdue	TUINSTRA-PUR	Natural variation	BTx623_NCBIv3
S100K-QTL-SB10-060923801-060926597	TST3	Sugar transport	QTL/Gene	10	60923801	60926597	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB02-001972122-001972933	Sobic.002G021300	Salt stress response	QTL/Gene	2	1972122	1972933	NA	NA	4.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB02-065723463-065725735	Sobic.002G274500	Drought response	QTL/Gene	2	65723463	65725735	NA	NA	4.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB06-060282790-060288720	Sobic.006G270700	Drought response	QTL/Gene	6	60282790	60288720	NA	NA	4.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
